complaint_month,n,any_relief_rate,monetary_relief_rate,non_monetary_relief_rate,timely_rate,mean_words,template_phrase_rate
2022-05,560,0.3375,0.023214285714285715,0.3142857142857143,0.992818671454219,140.80892857142857,1.375
2022-06,563,0.3392539964476021,0.023090586145648313,0.31616341030195383,0.9928825622775801,152.01243339253998,1.6873889875666075
2022-07,623,0.4012841091492777,0.009630818619582664,0.391653290529695,0.9951534733441034,170.6548956661316,1.276083467094703
2022-08,708,0.365819209039548,0.02401129943502825,0.3418079096045198,0.9957567185289957,157.9449152542373,0.8050847457627118
2022-09,648,0.3487654320987654,0.023148148148148147,0.3256172839506173,0.9907120743034056,158.64043209876544,0.8549382716049383
2022-10,718,0.3467966573816156,0.02924791086350975,0.31754874651810583,0.9958217270194986,158.25626740947075,0.9275766016713092
2022-11,745,0.33557046979865773,0.028187919463087248,0.3073825503355705,0.9892183288409704,176.7758389261745,1.2053691275167786
2022-12,696,0.33620689655172414,0.02586206896551724,0.3103448275862069,0.9884393063583815,171.35488505747125,1.1192528735632183
2023-01,855,0.32046783625730996,0.028070175438596492,0.29239766081871343,0.9988221436984688,188.22690058479532,1.0842105263157895
2023-02,778,0.36246786632390743,0.028277634961439587,0.3341902313624679,0.9935567010309279,203.41131105398458,1.287917737789203
2023-03,894,0.3333333333333333,0.016778523489932886,0.31655480984340045,0.9977578475336323,184.47091722595079,1.3109619686800895
2023-04,778,0.3380462724935733,0.012853470437017995,0.32519280205655526,0.9948586118251928,165.88817480719794,0.9485861182519281
2023-05,938,0.39232409381663114,0.010660980810234541,0.3816631130063966,0.9967982924226254,168.22388059701493,0.8688699360341151
2023-06,945,0.4201058201058201,0.020105820105820106,0.4,0.9978791092258749,165.60846560846562,1.1544973544973545
2023-07,887,0.4487034949267193,0.030439684329199548,0.4182638105975197,0.9932279909706546,153.30439684329198,0.8083427282976324
2023-08,1006,0.3956262425447316,0.012922465208747515,0.3827037773359841,0.9980119284294234,174.48508946322067,1.0099403578528827
2023-09,431,0.5522041763341067,0.030162412993039442,0.5220417633410673,1.0,167.40835266821347,0.8283062645011601
2023-10,93,0.40860215053763443,0.07526881720430108,0.3333333333333333,1.0,179.9784946236559,0.45161290322580644
2023-11,2,0.0,0.0,0.0,,163.5,0.0
2023-12,2,1.0,0.0,1.0,,264.0,2.5
2024-01,3,0.0,0.0,0.0,,1503.6666666666667,4.333333333333333
2024-02,3,0.3333333333333333,0.0,0.3333333333333333,,219.66666666666666,2.6666666666666665
2024-03,2,1.0,0.0,1.0,,202.5,3.5
2024-04,4,0.5,0.0,0.5,,126.75,0.25
2024-05,7,0.42857142857142855,0.0,0.42857142857142855,,88.42857142857143,0.2857142857142857
2024-06,5,0.2,0.0,0.2,,91.6,1.4
2024-07,4,0.25,0.0,0.25,,150.75,0.5
2024-08,2,0.5,0.0,0.5,,36.0,0.0
2024-09,6,0.16666666666666666,0.0,0.16666666666666666,,209.33333333333334,0.0
2024-10,8,0.625,0.0,0.625,,192.375,1.375
2024-11,7,0.42857142857142855,0.0,0.42857142857142855,,56.57142857142857,0.5714285714285714
2024-12,4,0.25,0.0,0.25,,318.75,0.0
2025-01,9,0.1111111111111111,0.0,0.1111111111111111,,144.11111111111111,0.3333333333333333
2025-02,10,0.3,0.0,0.3,,252.9,0.4
2025-03,16,0.3125,0.0,0.3125,,94.8125,0.5625
2025-04,6,0.6666666666666666,0.0,0.6666666666666666,,219.66666666666666,0.8333333333333334
2025-05,10,0.1,0.1,0.0,,204.6,0.5
2025-06,5,0.6,0.0,0.6,,91.6,0.0
2025-07,8,0.5,0.0,0.5,,238.125,0.375
2025-08,5,0.6,0.0,0.6,,74.0,1.4
2025-09,5,0.0,0.0,0.0,,75.2,0.6
2025-10,7,0.42857142857142855,0.0,0.42857142857142855,,129.85714285714286,0.14285714285714285
2025-11,3,0.0,0.0,0.0,,83.0,0.6666666666666666
2025-12,3,0.6666666666666666,0.0,0.6666666666666666,,227.66666666666666,1.0
2026-02,1,1.0,0.0,1.0,,86.0,0.0
